crop,step,year,month,half,tag,episode,p_prev,p_t,price_ratio,world_C_flex,world_desired_lag,world_desired_flex_lag,world_desired_flex_con,world_gap_mmt,world_gap_pct,world_abs_gap_mmt,offers_lag,offers_con,offers_gap_mmt,offers_gap_pct,free_lag,free_con,free_gap_mmt,twin,ratio_lag,ratio_con,ratio_gap,ratio_gap_pct,pscar_lag,pscar_con,ptrade_lag,ptrade_con,pstar_lag,pstar_con,p_out_lag,p_out_con,p_gap_one_step,unmet_lag,unmet_con,block_frac,calm_lag,calm_con,n_offer_pos_lag,n_offer_pos_con
wheat,0,2006,1,0,2006-01a,calm,213.5463324652778,211.44496765129992,0.9901596773415926,26.842576388888894,26.842576388888894,26.842576388888894,26.88242310676662,0.03984671787772724,0.14844595131420107,0.03984671787772724,40.843113539601454,40.83634055905904,-0.006772980542415041,-0.016582919262136966,39.65054798651889,39.61095480447398,-0.03959318204491069,40.07949776159205,1.0093062276214135,1.0101739559989933,0.0008677283775797573,0.0859727557239683,215.53364324291772,215.71894345552593,204.11762860556308,204.12359262978427,207.5424329967695,207.60219787750677,211.44496765129992,211.46588535955794,0.020917708258025414,0.2150778583099194,0.21509737817507418,0.0,False,False,7,7
wheat,1,2006,1,1,2006-01b,calm,211.44496765129992,209.1136780638826,0.9889744853551591,26.842576388888894,26.88242310676662,26.88242310676662,26.927166090522718,0.0447429837560974,0.16643954891415672,0.0447429837560974,34.44184731288081,34.434242085285405,-0.007605227595405495,-0.02208135796642138,38.80328878722267,38.75886758860304,-0.044421198619630786,40.35530884816691,1.0343021917471034,1.0353186483687797,0.001016456621676376,0.09827462706613979,221.6136103624343,221.94533955460605,197.57151021421245,197.57068776475057,204.784140258679,204.88308330170722,209.1136780638826,209.14830812894246,0.034630065059872095,0.2891245259012939,0.2893306682251321,0.0,False,False,7,7
wheat,2,2006,2,0,2006-02a,calm,209.1136780638826,205.35844627860143,0.9820421513310384,26.842576388888894,26.927166090522718,26.927166090522718,27.00045792347098,0.07329183294826068,0.27218546764955137,0.07329183294826068,22.484637118900366,22.472179275822803,-0.012457843077562814,-0.055406022395135174,30.999655383989705,30.927358825758375,-0.0722965582313293,32.287719930445746,1.0344017117353852,1.0364029033268418,0.002001191591456619,0.19346367748166998,221.97997303553402,222.62063860037375,188.27207497284368,188.2629680389099,198.3844443916508,198.57026920734904,205.35844627860143,205.42348496409585,0.0650386854944145,0.4246053184846212,0.4249870551709568,0.0,False,False,7,7
wheat,3,2006,2,1,2006-02b,calm,205.35844627860143,201.99283273576924,0.9836110293790098,26.842576388888894,27.00045792347098,27.00045792347098,27.0674673322561,0.06700940878512503,0.2481787863563419,0.06700940878512503,15.902773883722535,15.894614275536192,-0.008159608186343092,-0.051309339150542484,27.44627062687681,27.382565803160844,-0.06370482371596609,28.74177524762115,1.0382284563429618,1.0401838320379355,0.0019553756949737267,0.1883377095886303,223.93685156048775,224.5898773927309,183.6590744523554,183.646635117281,195.7424075847951,195.92960779991597,201.99283273576924,202.05835281106152,0.06552007529228376,0.5274601041488236,0.5278765647042025,0.0,False,False,6,6
wheat,4,2006,3,0,2006-03a,calm,201.99283273576924,198.8717430401989,0.9845485126709763,26.842576388888894,27.0674673322561,27.0674673322561,27.130765849506957,0.06329851725085431,0.2338545992273977,0.06329851725085431,9.03552365775725,9.03236440698467,-0.003159250772581501,-0.034964777828556684,22.594229402169162,22.533205728649563,-0.0610236735195997,25.12766883027612,1.0872503224631487,1.089540125317117,0.0022898028539684034,0.2106049367528253,234.70849893866486,235.27095246076232,175.2326913199555,175.23491208950824,193.07543360556832,193.24572420088447,198.8717430401989,198.93134474855958,0.05960170836067391,0.651589990375687,0.6517071462235232,0.0,False,False,4,4
wheat,5,2006,3,1,2006-03b,calm,198.8717430401989,197.94332578790713,0.9953315778395722,26.842576388888894,27.130765849506957,27.130765849506957,27.14981570001177,0.0190498505048163,0.07021493831204359,0.0190498505048163,5.814095410660402,5.811089749520949,-0.0030056611394524424,-0.051696109663791026,26.178810243551908,26.164497549451,-0.01431269410090863,29.33879128847036,1.0968694484133332,1.0973509184558916,0.0004814700425583851,0.043894926898989786,236.7336246265017,236.85522825405442,178.8557641877353,178.86085558152917,196.21912231936523,196.25916738328675,197.94332578790713,197.95734156027964,0.014015772372516722,0.7110272043443878,0.711057399673543,0.0,False,False,4,4
wheat,6,2006,4,0,2006-04a,calm,197.94332578790713,206.61132333807154,1.043790299650982,26.842576388888894,27.14981570001177,27.14981570001177,26.975835050141907,-0.17398064986986986,-0.6408170567058192,0.17398064986986986,14.62955016055204,14.657000605803479,0.02745044525143925,0.18763697413922,40.171497550946455,40.29851977979206,0.127022228845604,38.6785205173492,0.9679712933141047,0.9653407428329005,-0.002630550481204197,-0.27175914196771417,308.3587637186626,307.281378307151,186.00200565498912,185.98340885714663,222.70903307409117,222.37279969214796,206.61132333807154,206.49364165439144,-0.11768168368010379,0.7932385555589894,0.7927740430850818,0.0,False,False,4,4
wheat,7,2006,4,1,2006-04b,calm,206.61132333807154,206.2434777035392,0.9982196250012375,26.842576388888894,26.975835050141907,26.975835050141907,26.983046499823384,0.0072114496814804155,0.026732998878722308,0.0072114496814804155,26.43150406629789,26.430230676251913,-0.0012733900459771519,-0.0048176980121264375,49.38705217369521,49.38180698123767,-0.005245192457536518,52.64707004880996,1.0583926289114656,1.0584920748579554,9.944594648980676e-05,0.009395940955492557,226.01586421232722,226.03710052947866,196.793680781626,196.79218088170677,205.56033581083636,205.56565677603834,206.2434777035392,206.2453400413599,0.0018623378206825691,0.7251977210830107,0.7252288284797866,0.0,False,False,3,3
wheat,8,2006,5,0,2006-05a,calm,206.2434777035392,199.1186100471,0.9654540946663015,26.842576388888894,26.983046499823384,26.983046499823384,27.12571768542314,0.14267118559975667,0.5287438006701375,0.14267118559975667,29.079154598928195,29.062096535747738,-0.017058063180456884,-0.05866079470235223,67.67291431616788,67.56796560821752,-0.10494870795035638,70.58752481999328,1.0393254440710364,1.0407992393879257,0.0014737953168892926,0.1418030632557631,221.94413681921603,222.25886040394224,170.4335313215584,170.43975589769383,185.88671297085568,185.98548724956834,199.1186100471,199.15318104464941,0.034570997549423055,0.8487584344572641,0.8487582807194688,0.0,False,False,1,1
wheat,9,2006,5,1,2006-05b,calm,199.1186100471,194.6824303972993,0.9777209189600543,26.842576388888894,27.12571768542314,27.12571768542314,27.217548242439808,0.09183055701666754,0.3385368751589403,0.09183055701666754,43.11244116980377,43.08494907531355,-0.02749209449022061,-0.06376835489769539,93.86192141937886,93.79355855885436,-0.06836286052450191,96.60643648760527,1.0273619321694267,1.0280626141280513,0.0007006819586246049,0.06820205583683749,219.58563815117094,219.7346811754584,172.24017086045458,172.2394549385801,186.4438110476695,186.4880228096436,194.6824303972993,194.69790451399024,0.0154741166909389,0.8214257583552107,0.8214244485282525,0.0,False,False,3,3
