crop,country,t,year,month,step_of_year,episode,cut,cover_mmt,target_mmt,lean_gap_mmt,safety_mmt,surplus_mmt,offers_mmt,unmet_other_mmt,ask_t,ask_next,p_t,p_next,ask_at_clip,implied_r_step_ask,implied_r_step_ask_carry,implied_r_step_world,implied_r_annual_ask,convenience_yield_usd_t,convenience_yield_frac
wheat,USA,0,2006,1,0,calm,0.0,17.8574875,17.8574875,11.6461875,6.2113000000000005,4.245140287562801,4.245140287562801,2.355287208021569,213.5463324652778,211.42131022950252,211.44496765129992,209.1136780638826,False,-0.009951106213078154,-0.016975342980262598,-0.011025514644840917,-0.21339006269590322,4.069910428411305,0.019058676313596087
wheat,Russia,0,2006,1,0,calm,0.0,21.992024999999998,21.992024999999998,14.342624999999998,7.6494,4.543019612370031,4.543019612370031,2.355287208021569,213.5463324652778,203.10831629993652,211.44496765129992,209.1136780638826,False,-0.04887939795003726,-0.055903634717221706,-0.011025514644840917,-0.6996316735586956,12.38290435797731,0.05798696805055523
wheat,EU,0,2006,1,0,calm,0.0,67.25271631678648,71.35932083333336,46.538687500000016,24.82063333333334,0.0,0.0,2.2386523214998095,213.5463324652778,213.54633246527783,211.44496765129992,209.1136780638826,False,2.220446049250313e-16,-0.007024236767184333,-0.011025514644840917,5.329070518200751e-15,1.9448881926360002,0.009107570100517812
wheat,Ukraine,0,2006,1,0,calm,0.0,7.163541666666667,7.163541666666667,4.671875,2.491666666666667,2.470671579837404,2.470671579837404,2.355287208021569,213.5463324652778,199.03325062391008,211.44496765129992,209.1136780638826,False,-0.0679622153835282,-0.07498645215071265,-0.011025514644840917,-0.8153265536378208,16.45797003400375,0.07706978548404611
wheat,Kazakhstan,0,2006,1,0,calm,0.0,4.331666666666667,4.331666666666667,2.8250000000000006,1.5066666666666668,3.320391873458064,3.320391873458064,2.355287208021569,213.5463324652778,200.53976622460232,211.44496765129992,209.1136780638826,False,-0.06090746720171525,-0.06793170396889969,-0.011025514644840917,-0.778689869456117,14.951454433311511,0.07001503730223317
wheat,Canada,0,2006,1,0,calm,0.0,4.626066666666667,4.626066666666667,3.0170000000000003,1.6090666666666669,5.493754438499649,5.493754438499649,2.355287208021569,213.5463324652778,202.759629994396,211.44496765129992,209.1136780638826,False,-0.05051223472843158,-0.057536471495616026,-0.011025514644840917,-0.7117661710384593,12.731590663517835,0.059619804828949546
wheat,Australia,0,2006,1,0,calm,0.0,1.2973333333333334,1.2973333333333334,0.0,1.2973333333333334,10.914375336351434,10.914375336351434,2.355287208021569,213.5463324652778,198.96016381890183,211.44496765129992,209.1136780638826,False,-0.06830446806548485,-0.07532870483266929,-0.011025514644840917,-0.8169472293353596,16.531056839011995,0.07741203816600274
wheat,Argentina,0,2006,1,0,calm,0.0,1.135,1.135,0.0,1.135,9.85576041152207,9.85576041152207,2.355287208021569,213.5463324652778,198.2712247242223,211.44496765129992,209.1136780638826,False,-0.07153064894495065,-0.07855488571213509,-0.011025514644840917,-0.8315691144154652,17.219995933691536,0.08063821904546861
wheat,Brazil,0,2006,1,0,calm,0.0,1.1110203054475156,6.162083333333335,4.018750000000001,2.143333333333334,0.0,0.0,2.3386095415920733,213.5463324652778,213.54633246527783,211.44496765129992,209.1136780638826,False,2.220446049250313e-16,-0.007024236767184333,-0.011025514644840917,5.329070518200751e-15,1.9448881926360002,0.009107570100517812
wheat,India,0,2006,1,0,calm,0.0,7.946625625652683,15.404900000000001,0.0,15.404900000000001,0.0,0.0,2.281300841882647,213.5463324652778,213.54633246527783,211.44496765129992,209.1136780638826,False,2.220446049250313e-16,-0.007024236767184333,-0.011025514644840917,5.329070518200751e-15,1.9448881926360002,0.009107570100517812
