crop,leg,corr,mean_usd,hike_2007/08,hike_2010/11
wheat,full (amis+harvest+mean flex+ind),0.6871963698005545,337.11874089113434,2.086534098791583,1.3141872908546142
wheat,harvest+ind (official `shocks`),0.4242727200467438,207.00471528623544,1.1455368459886932,1.793107513097554
wheat,"harvest only, NO ind",0.4242727200467438,207.00471528623544,1.1455368459886932,1.793107513097554
wheat,industrial only,,213.54633246527783,1.0,1.0
wheat,"flex-trend only, NO ind",-0.02177240069653712,188.25626026638608,0.9167821613504746,1.30230369614635
wheat,flex-trend+ind (official `demand`),-0.02177240069653712,188.25626026638608,0.9167821613504746,1.30230369614635
wheat,amis only (official `tau`),0.5160073115696797,323.2038249750276,1.6122309506160541,1.2837984899286878
wheat,nothing (unperturbed),,213.54633246527783,1.0,1.0
maize,full (amis+harvest+mean flex+ind),0.7921112767257182,201.67888898563297,2.052576960050763,1.5152893790028277
maize,harvest+ind (official `shocks`),0.40641082185752325,165.61179539503826,1.267917124978484,1.0991315522594962
maize,"harvest only, NO ind",-0.034241337594520124,106.25696775859518,0.9963649652241359,1.1469648013805196
maize,industrial only,0.45314738072667543,164.53770241566986,1.4032686718531102,1.012801148551218
maize,"flex-trend only, NO ind",0.3834041408299905,106.24033496950551,0.9879883895946736,1.2943011807114515
maize,flex-trend+ind (official `demand`),0.5502140120691654,165.7918840723702,1.414390480241265,1.1829032211956958
maize,amis only (official `tau`),0.20648178152339514,142.92568499854517,1.0653582882193575,0.915775349989148
maize,nothing (unperturbed),,135.44442165709597,1.0,1.0
rice,full (amis+harvest+mean flex+ind),0.6757655371214287,618.4803859807752,1.5434381597067155,0.8445853735249156
rice,harvest+ind (official `shocks`),-0.13173043794960443,340.7052985957246,0.9176616532345674,1.0514438779537634
rice,"harvest only, NO ind",-0.13173043794960443,340.7052985957246,0.9176616532345674,1.0514438779537634
rice,industrial only,7.387678778667506e-17,338.99073466710394,1.0,1.0
rice,"flex-trend only, NO ind",0.3174116550172589,346.51411167125957,1.194024665534719,1.5776676308122315
rice,flex-trend+ind (official `demand`),0.3174116550172589,346.51411167125957,1.194024665534719,1.5776676308122315
rice,amis only (official `tau`),0.643953788377386,614.4773131090041,1.5493390111328056,0.8236661407822373
rice,nothing (unperturbed),7.387678778667506e-17,338.99073466710394,1.0,1.0
