param,klass,wheat,maize,rice,distinct_values,crop_specific
elast,literature,-0.15,-0.25,-0.2,3,1
stu_target,literature,0.2,0.16,0.18,3,1
max_stu,literature,0.28,0.18,0.22,3,1
seasonal_buffer_steps,unused,0.0,0.0,0.0,1,0
pipeline_max_steps,structural,12,12,0,2,1
rebuild_lambda,reduced-form,0.08,0.08,0.08,1,0
warehouse_lambda,reduced-form,0.08,0.08,0.08,1,0
inv_eta,reduced-form,1.0,0.85,0.95,3,1
smooth,reduced-form,0.65,0.65,0.65,1,0
trade_w,reduced-form,0.7,0.8,0.72,3,1
unmet_kappa,reduced-form,2.5,2.5,2.5,1,0
block_kappa,reduced-form,4.0,4.0,4.5,2,1
ask_alpha,reduced-form,0.15,0.15,0.15,1,0
ask_target_fill,reduced-form,0.7,0.7,0.7,1,0
ask_comp_elast,reduced-form,1.25,1.25,1.25,1,0
ask_beta,reduced-form,0.18,0.18,0.18,1,0
ask_rival,reduced-form,0.8,0.8,0.8,1,0
foresight_phi,reduced-form,0.55,0.5,0.55,2,1
harvest_pulse_frac,reduced-form (NOT in the §3 table),0.12,0.12,0.12,1,0
residual_subst,reduced-form (NOT in the §3 table),0.15,0.15,0.15,1,0
twin_harvest,structural,seasonal,seasonal,seasonal,1,0
shock_mode,structural,full,full,full,1,0
industrial_nodes,structural,(),"('USA',)",(),2,1
ind_base_years,structural,"(2000, 2004)","(2000, 2004)","(2000, 2004)",1,0
