crop,month,mean_ratio,corr,abs_log_ratio
rice,1,1.1537399869410436,0.8955621310558617,0.14300882808961016
rice,2,0.8137809320698293,0.9061767828283277,0.20606407442162786
rice,3,0.5621204845844401,0.9045610577652348,0.576039066684142
rice,4,0.43329540421537294,0.9066573014726654,0.8363355567652365
rice,5,0.35344824518020074,0.9114335459635479,1.0400182112092975
rice,6,0.4282549644080436,0.9209897153414153,0.848036549532095
rice,7,0.6334499229181042,0.9237285879271824,0.4565743306199229
rice,8,1.0479560263664742,0.9173759840350182,0.046841625444547896
rice,9,1.59110376855488,0.9094165953310455,0.46442796945057074
rice,10,1.9619654687440786,0.9009380275281834,0.6739467609597868
rice,11,1.889019276506664,0.8907838787139949,0.636057793076445
rice,12,1.6315410596519853,0.8818522191378865,0.4895250035454606
