year,grain,price_real_2010_usd_mt,price_nominal_usd_mt
2005,wheat,173.7,152.4
2005,rice,326.4,286.3
2005,maize,112.5,98.7
2006,wheat,213.5,192.0
2006,rice,339.0,304.9
2006,maize,135.5,121.9
2007,wheat,267.4,255.2
2007,rice,342.1,326.4
2007,maize,171.5,163.7
2008,wheat,317.1,326.0
2008,rice,632.3,650.2
2008,maize,217.0,223.1
2009,wheat,232.3,224.1
2009,rice,575.4,555.0
2009,maize,171.6,165.5
2010,wheat,223.6,223.6
2010,rice,488.9,488.9
2010,maize,185.9,185.9
2011,wheat,284.8,316.3
2011,rice,489.0,543.0
2011,maize,262.7,291.7
2012,wheat,284.2,313.2
2012,rice,510.7,563.0
2012,maize,270.7,298.4
