n_for,tau_for,crop,corr,hike_0708,hike_1011
3.0,4.8,wheat,0.7203588303857177,2.269530957168143,1.4425501195553394
3.0,4.8,maize,0.7853958441252374,2.2811737749511973,1.637156454034521
3.0,4.8,rice,0.6771282766299311,1.7237443458054724,0.820945030015284
6.0,4.8,wheat,0.7294302298247307,2.2874395522605697,1.4418101128495093
6.0,4.8,maize,0.7865821413779951,2.2584292983756176,1.6367947486201078
6.0,4.8,rice,0.6770764287679304,1.7184381416808356,0.8209956533059256
9.0,4.8,wheat,0.7220519769587397,2.2747689361947705,1.4317254538507298
9.0,4.8,maize,0.5134532590313748,2.0353216854503207,1.8341090511478777
9.0,4.8,rice,0.6772621550981109,1.7171880860967403,0.8207584275018809
6.0,2.4,wheat,0.7295302669231186,2.2877411047385188,1.4418067824607244
6.0,2.4,maize,0.7871840193974122,2.2560561392033316,1.6344714190341865
6.0,2.4,rice,0.67703054832277,1.718187730333489,0.8210324811425741
6.0,9.6,wheat,0.7293472989127693,2.2864448245328957,1.4427398684150987
6.0,9.6,maize,0.7945806320958997,2.2285094604978934,1.6421732712806887
6.0,9.6,rice,0.6772065045894143,1.7188875523264946,0.8208976281771595
