variant,crop,corr,hike_0708,hike_1011,obs_0708,obs_1011
V0_baseline,wheat,0.7198612368258547,2.2673764846341906,1.4472676909253321,1.8165638656251262,1.1590269664976314
V0_baseline,maize,0.7115343015231028,1.9716551959162116,1.698938753871961,1.836259971402727,1.4418926403601735
V0_baseline,rice,0.6777409747204022,1.7218949303223503,0.8204584882401206,1.83714665456457,0.7931662874839874
V1_agrimate_exp,wheat,0.7294302298247307,2.2874395522605697,1.4418101128495093,1.8165638656251262,1.1590269664976314
V1_agrimate_exp,maize,0.7865821413779951,2.2584292983756176,1.6367947486201078,1.836259971402727,1.4418926403601735
V1_agrimate_exp,rice,0.6770764287679304,1.7184381416808356,0.8209956533059256,1.83714665456457,0.7931662874839874
V2_lag0_only,wheat,0.7207944903481751,2.268509535480907,1.4483215344188536,1.8165638656251262,1.1590269664976314
V2_lag0_only,maize,0.7112862477463062,1.9717380755691971,1.6993509655337276,1.836259971402727,1.4418926403601735
V2_lag0_only,rice,0.6776366590509539,1.7214816594326632,0.8205858945865209,1.83714665456457,0.7931662874839874
V3_pre_update_ask,wheat,0.6799353163943785,2.0781932381641433,1.3115794834997023,1.8165638656251262,1.1590269664976314
V3_pre_update_ask,maize,0.7325011982433536,1.8441074921606078,1.6377902064340975,1.836259971402727,1.4418926403601735
V3_pre_update_ask,rice,0.6749590231144451,1.5459410994725797,0.8443610728614044,1.83714665456457,0.7931662874839874
V4_cut_duration,wheat,0.7127819786890095,2.1374610471592734,1.4779916292620663,1.8165638656251262,1.1590269664976314
V4_cut_duration,maize,0.650416280126698,1.7763511632173532,1.6671976969062214,1.836259971402727,1.4418926403601735
V4_cut_duration,rice,0.6929333054080645,1.7084256941595368,0.8235473773216004,1.83714665456457,0.7931662874839874
V13_agri_exp+pre_ask,wheat,0.6883703740763721,2.0948279095380986,1.306165561976044,1.8165638656251262,1.1590269664976314
V13_agri_exp+pre_ask,maize,0.7942367199241216,2.083904662512512,1.5527947208584485,1.836259971402727,1.4418926403601735
V13_agri_exp+pre_ask,rice,0.6747538601678216,1.5420351416387572,0.8455443120214965,1.83714665456457,0.7931662874839874
